ID_Disponibilidad,Fecha,ID_Operario
DIS0305,3/15/2022,OPE05
DIS0306,3/15/2022,OPE06
DIS0307,3/16/2022,OPE01
DIS0308,3/16/2022,OPE02
DIS0309,3/16/2022,OPE03
DIS0310,3/16/2022,OPE04
DIS0311,3/16/2022,OPE05
DIS0312,3/16/2022,OPE06
DIS0313,3/17/2022,OPE01
DIS0314,3/17/2022,OPE02
DIS0315,3/17/2022,OPE03
DIS0316,3/17/2022,OPE04
DIS0317,3/17/2022,OPE05
DIS0318,3/17/2022,OPE06
DIS0319,3/18/2022,OPE01
DIS0320,3/18/2022,OPE02
DIS0321,3/18/2022,OPE03
DIS0322,3/18/2022,OPE04
DIS0323,3/18/2022,OPE05
DIS0324,3/18/2022,OPE06
DIS0325,3/21/2022,OPE01
DIS0326,3/21/2022,OPE02
DIS0327,3/21/2022,OPE03
DIS0328,3/21/2022,OPE04
DIS0329,3/21/2022,OPE05
DIS0330,3/21/2022,OPE06
DIS0331,3/22/2022,OPE01
DIS0332,3/22/2022,OPE02
DIS0333,3/22/2022,OPE03
DIS0334,3/22/2022,OPE04
DIS0335,3/22/2022,OPE05
DIS0336,3/22/2022,OPE06
DIS0337,3/23/2022,OPE01
DIS0338,3/23/2022,OPE02
DIS0339,3/23/2022,OPE03
DIS0340,3/23/2022,OPE04
DIS0341,3/23/2022,OPE05
DIS0342,3/23/2022,OPE06
DIS0343,3/24/2022,OPE01
DIS0344,3/24/2022,OPE02
DIS0345,3/24/2022,OPE03
DIS0346,3/24/2022,OPE04
DIS0347,3/24/2022,OPE05
DIS0348,3/24/2022,OPE06
DIS0349,3/25/2022,OPE01
DIS0350,3/25/2022,OPE02
DIS0351,3/25/2022,OPE03
DIS0352,3/25/2022,OPE04
DIS0353,3/25/2022,OPE05
DIS0354,3/25/2022,OPE06
DIS0355,3/28/2022,OPE01
DIS0356,3/28/2022,OPE02
DIS0357,3/28/2022,OPE03
DIS0358,3/28/2022,OPE04
DIS0359,3/28/2022,OPE05
DIS0360,3/28/2022,OPE06
DIS0361,4/1/2022,OPE01
DIS0362,4/1/2022,OPE02
DIS0363,4/1/2022,OPE03
DIS0364,4/1/2022,OPE04
DIS0365,4/1/2022,OPE05
DIS0366,4/1/2022,OPE06
DIS0367,4/4/2022,OPE01
DIS0368,4/4/2022,OPE02
DIS0369,4/4/2022,OPE03
DIS0370,4/4/2022,OPE04
DIS0371,4/4/2022,OPE05
DIS0372,4/4/2022,OPE06
DIS0373,4/5/2022,OPE01
DIS0374,4/5/2022,OPE02
DIS0375,4/5/2022,OPE03
DIS0376,4/5/2022,OPE04
DIS0377,4/5/2022,OPE05
DIS0378,4/5/2022,OPE06
DIS0379,4/6/2022,OPE01
DIS0380,4/6/2022,OPE02
DIS0381,4/6/2022,OPE03
DIS0382,4/6/2022,OPE04
DIS0383,4/6/2022,OPE05
DIS0384,4/6/2022,OPE06
DIS0385,4/7/2022,OPE01
DIS0386,4/7/2022,OPE02
DIS0387,4/7/2022,OPE03
DIS0388,4/7/2022,OPE04
DIS0389,4/7/2022,OPE05
DIS0390,4/7/2022,OPE06
DIS0391,4/8/2022,OPE01
DIS0392,4/8/2022,OPE02
DIS0393,4/8/2022,OPE03
DIS0394,4/8/2022,OPE04
DIS0395,4/8/2022,OPE05
DIS0396,4/8/2022,OPE06
DIS0397,4/11/2022,OPE01
DIS0398,4/11/2022,OPE02
DIS0399,4/11/2022,OPE03
DIS0400,4/11/2022,OPE04
DIS0401,4/11/2022,OPE05
DIS0402,4/11/2022,OPE06
DIS0403,4/12/2022,OPE01
DIS0404,4/12/2022,OPE02
DIS0405,4/12/2022,OPE03
DIS0406,4/12/2022,OPE04
DIS0407,4/12/2022,OPE05
DIS0408,4/12/2022,OPE06
DIS0409,4/13/2022,OPE01
DIS0410,4/13/2022,OPE02
DIS0411,4/13/2022,OPE03
DIS0412,4/13/2022,OPE04
DIS0413,4/13/2022,OPE05
DIS0414,4/13/2022,OPE06
DIS0415,4/14/2022,OPE01
DIS0416,4/14/2022,OPE02
DIS0417,4/14/2022,OPE03
DIS0418,4/14/2022,OPE04
DIS0419,4/14/2022,OPE05
DIS0420,4/14/2022,OPE06
DIS0421,4/15/2022,OPE01
DIS0422,4/15/2022,OPE02
DIS0423,4/15/2022,OPE03
DIS0424,4/15/2022,OPE04
DIS0425,4/15/2022,OPE05
DIS0426,4/15/2022,OPE06
DIS0427,4/18/2022,OPE01
DIS0428,4/18/2022,OPE02
DIS0429,4/18/2022,OPE03
DIS0430,4/18/2022,OPE04
DIS0431,4/18/2022,OPE05
DIS0432,4/18/2022,OPE06
DIS0433,4/19/2022,OPE01
DIS0434,4/19/2022,OPE02
DIS0435,4/19/2022,OPE03
DIS0436,4/19/2022,OPE04
DIS0437,4/19/2022,OPE05
DIS0438,4/19/2022,OPE06
DIS0439,4/20/2022,OPE01
DIS0440,4/20/2022,OPE02
DIS0441,4/20/2022,OPE03
DIS0442,4/20/2022,OPE04
DIS0443,4/20/2022,OPE05
DIS0444,4/20/2022,OPE06
DIS0445,4/21/2022,OPE01
DIS0446,4/21/2022,OPE02
DIS0447,4/21/2022,OPE03
DIS0448,4/21/2022,OPE04
DIS0449,4/21/2022,OPE05
DIS0450,4/21/2022,OPE06
DIS0451,4/22/2022,OPE01
DIS0452,4/22/2022,OPE02
DIS0453,4/22/2022,OPE03
DIS0454,4/22/2022,OPE04
DIS0455,4/22/2022,OPE05
DIS0456,4/22/2022,OPE06
DIS0457,4/25/2022,OPE01
DIS0458,4/25/2022,OPE02
DIS0459,4/25/2022,OPE03
DIS0460,4/25/2022,OPE04
DIS0461,4/25/2022,OPE05
DIS0462,4/25/2022,OPE06
DIS0463,4/26/2022,OPE01
DIS0464,4/26/2022,OPE02
DIS0465,4/26/2022,OPE03
DIS0466,4/26/2022,OPE04
DIS0467,4/26/2022,OPE05
DIS0468,4/26/2022,OPE06
DIS0469,4/27/2022,OPE01
DIS0470,4/27/2022,OPE02
DIS0471,4/27/2022,OPE03
DIS0472,4/27/2022,OPE04
DIS0473,4/27/2022,OPE05
DIS0474,4/27/2022,OPE06
DIS0475,4/28/2022,OPE01
DIS0476,4/28/2022,OPE02
DIS0477,4/28/2022,OPE03
DIS0478,4/28/2022,OPE04
DIS0479,4/28/2022,OPE05
DIS0480,4/28/2022,OPE06
DIS0481,5/2/2022,OPE01
DIS0482,5/2/2022,OPE02
DIS0483,5/2/2022,OPE03
DIS0484,5/2/2022,OPE04
DIS0485,5/2/2022,OPE05
DIS0486,5/2/2022,OPE06
DIS0487,5/3/2022,OPE01
DIS0488,5/3/2022,OPE02
DIS0489,5/3/2022,OPE03
DIS0490,5/3/2022,OPE04
DIS0491,5/3/2022,OPE05
DIS0492,5/3/2022,OPE06
DIS0493,5/4/2022,OPE01
DIS0494,5/4/2022,OPE02
DIS0495,5/4/2022,OPE03
DIS0496,5/4/2022,OPE04
DIS0497,5/4/2022,OPE05
DIS0498,5/4/2022,OPE06
DIS0499,5/5/2022,OPE01
DIS0500,5/5/2022,OPE02
DIS0501,5/5/2022,OPE03
DIS0502,5/5/2022,OPE04
DIS0503,5/5/2022,OPE05
DIS0504,5/5/2022,OPE06
DIS0505,5/6/2022,OPE01
DIS0506,5/6/2022,OPE02
DIS0507,5/6/2022,OPE03
DIS0508,5/6/2022,OPE04
DIS0509,5/6/2022,OPE05
DIS0510,5/6/2022,OPE06
DIS0511,5/9/2022,OPE01
DIS0512,5/9/2022,OPE02
DIS0513,5/9/2022,OPE03
DIS0514,5/9/2022,OPE04
DIS0515,5/9/2022,OPE05
DIS0516,5/9/2022,OPE06
DIS0517,5/10/2022,OPE01
DIS0518,5/10/2022,OPE02
DIS0519,5/10/2022,OPE03
DIS0520,5/10/2022,OPE04
DIS0521,5/10/2022,OPE05
DIS0522,5/10/2022,OPE06
DIS0523,5/11/2022,OPE01
DIS0524,5/11/2022,OPE02
DIS0525,5/11/2022,OPE03
DIS0526,5/11/2022,OPE04
DIS0527,5/11/2022,OPE05
DIS0528,5/11/2022,OPE06
DIS0529,5/12/2022,OPE01
DIS0530,5/12/2022,OPE02
DIS0531,5/12/2022,OPE03
DIS0532,5/12/2022,OPE04
DIS0533,5/12/2022,OPE05
DIS0534,5/12/2022,OPE06
DIS0535,5/13/2022,OPE01
DIS0536,5/13/2022,OPE02
DIS0537,5/13/2022,OPE03
DIS0538,5/13/2022,OPE04
DIS0539,5/13/2022,OPE05
DIS0540,5/13/2022,OPE06
DIS0541,5/16/2022,OPE01
DIS0542,5/16/2022,OPE02
DIS0543,5/16/2022,OPE03
DIS0544,5/16/2022,OPE04
DIS0545,5/16/2022,OPE05
DIS0546,5/16/2022,OPE06
DIS0547,5/17/2022,OPE01
DIS0548,5/17/2022,OPE02
DIS0549,5/17/2022,OPE03
DIS0550,5/17/2022,OPE04
DIS0551,5/17/2022,OPE05
DIS0552,5/17/2022,OPE06
DIS0553,5/18/2022,OPE01
DIS0554,5/18/2022,OPE02
DIS0555,5/18/2022,OPE03
DIS0556,5/18/2022,OPE04
DIS0557,5/18/2022,OPE05
DIS0558,5/18/2022,OPE06
DIS0559,5/19/2022,OPE01
DIS0560,5/19/2022,OPE02
DIS0561,5/19/2022,OPE03
DIS0562,5/19/2022,OPE04
DIS0563,5/19/2022,OPE05
DIS0564,5/19/2022,OPE06
DIS0565,5/20/2022,OPE01
DIS0566,5/20/2022,OPE02
DIS0567,5/20/2022,OPE03
DIS0568,5/20/2022,OPE04
DIS0569,5/20/2022,OPE05
DIS0570,5/20/2022,OPE06
DIS0571,5/23/2022,OPE01
DIS0572,5/23/2022,OPE02
DIS0573,5/23/2022,OPE03
DIS0574,5/23/2022,OPE04
DIS0575,5/23/2022,OPE05
DIS0576,5/23/2022,OPE06
DIS0577,5/24/2022,OPE01
DIS0578,5/24/2022,OPE02
DIS0579,5/24/2022,OPE03
DIS0580,5/24/2022,OPE04
DIS0581,5/24/2022,OPE05
DIS0582,5/24/2022,OPE06
DIS0583,5/25/2022,OPE01
DIS0584,5/25/2022,OPE02
DIS0585,5/25/2022,OPE03
DIS0586,5/25/2022,OPE04
DIS0587,5/25/2022,OPE05
DIS0588,5/25/2022,OPE06
DIS0589,5/26/2022,OPE01
DIS0590,5/26/2022,OPE02
DIS0591,5/26/2022,OPE03
DIS0592,5/26/2022,OPE04
DIS0593,5/26/2022,OPE05
DIS0594,5/26/2022,OPE06
DIS0595,5/27/2022,OPE01
DIS0596,5/27/2022,OPE02
DIS0597,5/27/2022,OPE03
DIS0598,5/27/2022,OPE04
DIS0599,5/27/2022,OPE05
DIS0600,5/27/2022,OPE06
DIS0601,6/1/2022,OPE01
DIS0602,6/1/2022,OPE02
DIS0603,6/1/2022,OPE03
DIS0604,6/1/2022,OPE04
DIS0605,6/1/2022,OPE05
DIS0606,6/1/2022,OPE06
DIS0607,6/2/2022,OPE01
DIS0608,6/2/2022,OPE02
DIS0609,6/2/2022,OPE03
DIS0610,6/2/2022,OPE04
DIS0611,6/2/2022,OPE05
DIS0612,6/2/2022,OPE06
DIS0613,6/3/2022,OPE01
DIS0614,6/3/2022,OPE02
DIS0615,6/3/2022,OPE03
DIS0616,6/3/2022,OPE04
DIS0617,6/3/2022,OPE05
DIS0618,6/3/2022,OPE06
DIS0619,6/6/2022,OPE01
DIS0620,6/6/2022,OPE02
DIS0621,6/6/2022,OPE03
DIS0622,6/6/2022,OPE04
DIS0623,6/6/2022,OPE05
DIS0624,6/6/2022,OPE06
DIS0625,6/7/2022,OPE01
DIS0626,6/7/2022,OPE02
DIS0627,6/7/2022,OPE03
DIS0628,6/7/2022,OPE04
DIS0629,6/7/2022,OPE05
DIS0630,6/7/2022,OPE06
DIS0631,6/8/2022,OPE01
DIS0632,6/8/2022,OPE02
DIS0633,6/8/2022,OPE03
DIS0634,6/8/2022,OPE04
DIS0635,6/8/2022,OPE05
DIS0636,6/8/2022,OPE06
DIS0637,6/9/2022,OPE01
DIS0638,6/9/2022,OPE02
DIS0639,6/9/2022,OPE03
DIS0640,6/9/2022,OPE04
DIS0641,6/9/2022,OPE05
DIS0642,6/9/2022,OPE06
DIS0643,6/10/2022,OPE01
DIS0644,6/10/2022,OPE02
DIS0645,6/10/2022,OPE03
DIS0646,6/10/2022,OPE04
DIS0647,6/10/2022,OPE05
DIS0648,6/10/2022,OPE06
DIS0649,6/13/2022,OPE01
DIS0650,6/13/2022,OPE02
DIS0651,6/13/2022,OPE03
DIS0652,6/13/2022,OPE04
DIS0653,6/13/2022,OPE05
DIS0654,6/13/2022,OPE06
DIS0655,6/14/2022,OPE01
DIS0656,6/14/2022,OPE02
DIS0657,6/14/2022,OPE03
DIS0658,6/14/2022,OPE04
DIS0659,6/14/2022,OPE05
DIS0660,6/14/2022,OPE06
DIS0661,6/15/2022,OPE01
DIS0662,6/15/2022,OPE02
DIS0663,6/15/2022,OPE03
DIS0664,6/15/2022,OPE04
DIS0665,6/15/2022,OPE05
DIS0666,6/15/2022,OPE06
DIS0667,6/16/2022,OPE01
DIS0668,6/16/2022,OPE02
DIS0669,6/16/2022,OPE03
DIS0670,6/16/2022,OPE04
DIS0671,6/16/2022,OPE05
DIS0672,6/16/2022,OPE06
DIS0673,6/17/2022,OPE01
DIS0674,6/17/2022,OPE02
DIS0675,6/17/2022,OPE03
DIS0676,6/17/2022,OPE04
DIS0677,6/17/2022,OPE05
DIS0678,6/17/2022,OPE06
DIS0679,6/20/2022,OPE01
DIS0680,6/20/2022,OPE02
DIS0681,6/20/2022,OPE03
DIS0682,6/20/2022,OPE04
DIS0683,6/20/2022,OPE05
DIS0684,6/20/2022,OPE06
DIS0685,6/21/2022,OPE01
DIS0686,6/21/2022,OPE02
DIS0687,6/21/2022,OPE03
DIS0688,6/21/2022,OPE04
DIS0689,6/21/2022,OPE05
DIS0690,6/21/2022,OPE06
DIS0691,6/22/2022,OPE01
DIS0692,6/22/2022,OPE02
DIS0693,6/22/2022,OPE03
DIS0694,6/22/2022,OPE04
DIS0695,6/22/2022,OPE05
DIS0696,6/22/2022,OPE06
DIS0697,6/23/2022,OPE01
DIS0698,6/23/2022,OPE02
DIS0699,6/23/2022,OPE03
DIS0700,6/23/2022,OPE04
DIS0701,6/23/2022,OPE05
DIS0702,6/23/2022,OPE06
DIS0703,6/24/2022,OPE01
DIS0704,6/24/2022,OPE02
DIS0705,6/24/2022,OPE03
DIS0706,6/24/2022,OPE04
DIS0707,6/24/2022,OPE05
DIS0708,6/24/2022,OPE06
DIS0709,6/27/2022,OPE01
DIS0710,6/27/2022,OPE02
DIS0711,6/27/2022,OPE03
DIS0712,6/27/2022,OPE04
DIS0713,6/27/2022,OPE05
DIS0714,6/27/2022,OPE06
DIS0715,6/28/2022,OPE01
DIS0716,6/28/2022,OPE02
DIS0717,6/28/2022,OPE03
DIS0718,6/28/2022,OPE04
DIS0719,6/28/2022,OPE05
DIS0720,6/28/2022,OPE06
DIS0721,7/1/2022,OPE01
DIS0722,7/1/2022,OPE02
DIS0723,7/1/2022,OPE03
DIS0724,7/1/2022,OPE04
DIS0725,7/1/2022,OPE05
DIS0726,7/1/2022,OPE06
DIS0727,7/4/2022,OPE01
DIS0728,7/4/2022,OPE02
DIS0729,7/4/2022,OPE03
DIS0730,7/4/2022,OPE04
DIS0731,7/4/2022,OPE05
DIS0732,7/4/2022,OPE06
DIS0733,7/5/2022,OPE01
DIS0734,7/5/2022,OPE02
DIS0735,7/5/2022,OPE03
DIS0736,7/5/2022,OPE04
DIS0737,7/5/2022,OPE05
DIS0738,7/5/2022,OPE06
DIS0739,7/6/2022,OPE01
DIS0740,7/6/2022,OPE02
DIS0741,7/6/2022,OPE03
DIS0742,7/6/2022,OPE04
DIS0743,7/6/2022,OPE05
DIS0744,7/6/2022,OPE06
DIS0745,7/7/2022,OPE01
DIS0746,7/7/2022,OPE02
DIS0747,7/7/2022,OPE03
DIS0748,7/7/2022,OPE04
DIS0749,7/7/2022,OPE05
DIS0750,7/7/2022,OPE06
DIS0751,7/8/2022,OPE01
DIS0752,7/8/2022,OPE02
DIS0753,7/8/2022,OPE03
DIS0754,7/8/2022,OPE04
DIS0755,7/8/2022,OPE05
DIS0756,7/8/2022,OPE06
DIS0757,7/11/2022,OPE01
DIS0758,7/11/2022,OPE02
DIS0759,7/11/2022,OPE03
DIS0760,7/11/2022,OPE04
DIS0761,7/11/2022,OPE05
DIS0762,7/11/2022,OPE06
DIS0763,7/12/2022,OPE01
DIS0764,7/12/2022,OPE02
DIS0765,7/12/2022,OPE03
DIS0766,7/12/2022,OPE04
DIS0767,7/12/2022,OPE05
DIS0768,7/12/2022,OPE06
DIS0769,7/13/2022,OPE01
DIS0770,7/13/2022,OPE02
DIS0771,7/13/2022,OPE03
DIS0772,7/13/2022,OPE04
DIS0773,7/13/2022,OPE05
DIS0774,7/13/2022,OPE06
DIS0775,7/14/2022,OPE01
